,predicted_labels,true_labels
50447,4,4
113123,4,25
13410,1,1
30392,4,4
42654,4,4
49345,4,4
75136,4,10
88282,4,15
114087,4,25
122457,1,29
35898,4,4
25870,4,4
103033,4,23
80107,4,11
104233,4,23
16495,4,1
69109,1,9
78785,1,11
107799,25,25
19869,1,3
21417,4,3
766,4,0
68386,1,8
25284,4,4
121220,4,28
89069,25,15
66906,4,8
49833,4,4
110107,4,25
67500,1,8
57889,4,6
96404,4,20
56070,4,5
102581,4,22
102619,4,22
34050,4,4
116285,4,26
11697,4,1
6097,4,1
80221,4,11
20867,4,3
115264,4,26
33901,4,4
95364,4,19
122439,4,29
123701,4,30
107183,4,24
34642,4,4
44664,4,4
81881,4,11
123555,4,30
106223,4,24
62006,4,7
108957,4,25
6854,1,1
24849,4,4
94491,4,19
38836,4,4
14111,1,1
80977,4,11
59849,1,6
75051,10,10
117782,4,26
62072,4,7
80259,4,11
108506,4,25
38092,4,4
63946,4,7
112190,4,25
48975,4,4
64277,1,7
32352,4,4
114430,4,25
84848,1,13
102954,1,22
37063,4,4
47585,4,4
47302,4,4
55598,1,5
71316,4,9
69680,4,9
35588,4,4
30769,4,4
40115,4,4
13019,1,1
61619,4,7
89215,4,15
75044,4,10
2276,4,0
87459,4,14
67849,4,8
56310,4,5
112520,25,25
92787,4,17
72602,4,9
32279,4,4
57317,1,5
70762,4,9
1236,4,0
45294,4,4
109520,4,25
99412,4,20
82951,4,12
11776,1,1
47840,4,4
80132,4,11
33025,4,4
111560,4,25
71979,1,9
23631,4,4
77573,4,10
123111,4,29
20588,4,3
3432,1,1
29534,4,4
52461,4,4
24531,4,4
32520,4,4
44331,4,4
103756,4,23
67043,4,8
48199,4,4
117658,26,26
623,4,0
15145,1,1
112832,4,25
118226,4,27
82868,4,12
100633,1,21
14390,1,1
26206,4,4
20734,4,3
103689,4,23
119309,4,27
50732,4,4
40933,4,4
82100,4,12
110470,25,25
90694,4,15
88734,4,15
69383,4,9
74186,4,10
91891,4,16
29482,4,4
83565,4,12
21822,4,3
4197,4,1
82463,4,12
98629,4,20
113650,1,25
105703,4,24
101380,1,22
53521,4,4
11537,1,1
85228,4,13
43486,4,4
36358,4,4
70119,4,9
81250,4,11
105072,4,23
114005,4,25
2995,4,1
24744,4,4
976,4,0
83788,4,12
114064,4,25
40465,4,4
50937,4,4
29407,4,4
75587,1,10
96277,1,20
11241,1,1
36989,4,4
27169,4,4
64204,4,7
39857,4,4
38858,4,4
75689,4,10
53654,4,4
68327,1,8
114638,4,26
105113,4,23
15929,4,1
102994,4,22
113301,4,25
75002,10,10
80294,4,11
22830,4,4
77943,4,11
117642,4,26
86055,4,13
78983,4,11
43648,4,4
104154,4,23
36602,1,4
24370,4,4
91367,4,16
107685,4,24
55034,4,5
40396,4,4
30625,4,4
1215,4,0
92391,4,17
17953,4,2
75725,4,10
79758,1,11
48242,4,4
34170,4,4
47905,4,4
8941,1,1
104760,4,23
84564,4,13
66156,4,8
79263,4,11
19734,4,3
18539,4,2
53322,4,4
3053,1,1
53956,4,4
2024,4,0
95249,4,19
8462,4,1
93440,4,18
66581,1,8
94058,4,18
19667,4,3
69557,1,9
112385,25,25
73054,4,9
113054,25,25
62986,1,7
91957,4,16
65526,4,8
22011,4,4
105310,4,23
16382,1,1
64055,4,7
27180,4,4
29424,4,4
85523,4,13
71166,4,9
75284,4,10
28679,4,4
87960,4,14
80744,4,11
118994,4,27
200,4,0
92319,4,17
37919,4,4
67607,4,8
46542,4,4
19867,4,3
78003,4,11
66203,1,8
90239,4,15
79883,4,11
87607,4,14
105311,4,23
115478,4,26
67869,1,8
29918,4,4
123293,4,29
55909,4,5
11835,1,1
15955,1,1
83834,4,12
65505,4,8
9312,1,1
41595,4,4
8684,1,1
61910,4,7
94312,4,18
113291,4,25
74013,4,10
55267,1,5
25198,4,4
12698,1,1
24649,4,4
40479,4,4
15530,1,1
105658,1,24
124549,4,30
101048,4,22
16367,1,1
22507,4,4
21862,4,3
64287,4,7
90917,4,16
78910,4,11
71066,4,9
16706,4,1
48531,4,4
77514,4,10
96098,1,20
115874,4,26
1533,4,0
111043,4,25
7655,4,1
123263,4,29
112744,4,25
116818,4,26
57495,4,6
25073,4,4
84018,4,12
86564,4,13
37787,4,4
89127,25,15
30715,4,4
85901,4,13
40520,4,4
89487,4,15
52723,4,4
9074,1,1
70794,10,9
116093,4,26
11273,1,1
18045,4,2
31312,4,4
39727,4,4
65012,1,8
51953,4,4
34211,4,4
1110,4,0
11412,1,1
47289,4,4
80214,4,11
89187,4,15
14765,1,1
108030,4,25
41293,4,4
64876,4,8
45191,4,4
36142,4,4
24476,4,4
43995,4,4
2399,4,0
90960,4,16
119330,4,27
83856,1,12
29027,4,4
101320,4,22
117279,4,26
44527,4,4
59165,4,6
18643,4,2
124444,1,30
86906,4,13
99214,1,20
120636,4,28
86408,1,13
23668,4,4
118271,4,27
22274,4,4
5249,4,1
9701,1,1
104981,1,23
57996,4,6
112969,4,25
27902,4,4
15121,1,1
116122,4,26
74595,10,10
110269,25,25
41763,4,4
18832,4,2
95158,4,19
58751,4,6
70230,1,9
118361,4,27
535,4,0
61717,4,7
118300,1,27
56535,4,5
3469,1,1
83141,4,12
39942,4,4
35731,4,4
28844,4,4
36692,4,4
83221,1,12
114351,4,25
51241,4,4
84068,1,12
66243,4,8
40183,4,4
11468,1,1
85309,4,13
97714,4,20
107489,24,24
9346,1,1
117169,4,26
95804,4,20
37727,4,4
108976,1,25
99649,4,21
104602,4,23
42153,4,4
117113,4,26
50446,4,4
12768,1,1
21905,4,3
87408,4,14
61798,4,7
58611,1,6
65341,4,8
115458,4,26
21824,4,3
97147,20,20
81551,4,11
27134,4,4
73053,9,9
71460,4,9
119527,4,28
97344,4,20
23996,4,4
27196,4,4
65931,4,8
35343,4,4
118502,25,27
22974,4,4
9014,1,1
61290,4,7
22086,4,4
2132,4,0
92311,4,17
18746,4,2
83597,4,12
87728,4,14
48449,4,4
64082,1,7
101998,1,22
11706,1,1
30009,4,4
68617,1,8
73810,4,10
97279,4,20
29579,4,4
44137,4,4
30631,1,4
109439,4,25
57524,4,6
91606,4,16
84085,4,12
27891,4,4
14349,4,1
13280,1,1
44841,4,4
78115,4,11
86890,4,13
57692,1,6
96499,4,20
118450,1,27
8839,4,1
59951,4,6
45154,4,4
95676,1,20
60376,4,6
122178,4,29
12883,1,1
34921,4,4
30789,4,4
58343,4,6
497,4,0
11531,1,1
33789,4,4
47275,4,4
11443,1,1
12851,1,1
50226,4,4
9143,1,1
29688,4,4
80145,4,11
117659,4,26
101152,4,22
47199,4,4
21655,4,3
71834,4,9
56250,4,5
85567,4,13
1468,1,0
115846,4,26
92749,10,17
103089,4,23
52213,4,4
34414,4,4
30797,4,4
51577,4,4
104700,4,23
88131,4,14
50879,4,4
38373,4,4
33915,4,4
81196,4,11
45000,4,4
62163,1,7
35635,4,4
74690,10,10
7865,4,1
30414,4,4
55510,4,5
120675,4,28
10922,1,1
112232,4,25
70914,4,9
78505,1,11
122788,4,29
62599,1,7
76058,4,10
119500,4,28
113306,4,25
114404,25,25
119634,4,28
363,4,0
79430,4,11
70905,4,9
36557,4,4
17798,4,2
93859,4,18
50159,4,4
110051,4,25
19522,4,3
113856,4,25
103206,4,23
64697,1,8
88084,4,14
75203,4,10
35669,4,4
116826,4,26
56503,4,5
5613,1,1
75778,4,10
69857,4,9
6439,1,1
97801,1,20
72866,1,9
55551,1,5
79847,4,11
76306,4,10
121688,4,28
120663,4,28
20598,4,3
87270,4,14
33190,4,4
1179,4,0
72480,4,9
119339,4,27
98864,4,20
14452,1,1
68682,1,9
20463,4,3
16038,1,1
43177,4,4
113882,25,25
41621,4,4
65428,1,8
99276,4,20
17189,4,2
81185,4,11
15416,1,1
33538,4,4
106057,4,24
73780,4,10
73432,4,9
34609,4,4
80717,4,11
90600,4,15
23968,4,4
121661,4,28
30228,4,4
20343,3,3
5683,1,1
123276,4,29
55897,4,5
81419,4,11
13792,1,1
97422,4,20
121498,4,28
104868,4,23
40278,4,4
23004,4,4
55337,4,5
23062,4,4
2262,4,0
92641,4,17
8227,1,1
75886,4,10
52444,4,4
22403,4,4
61945,4,7
72880,4,9
16699,4,1
108864,4,25
25091,4,4
32153,4,4
115916,4,26
70290,9,9
91808,1,16
77433,4,10
33067,4,4
57423,4,6
20902,4,3
87512,4,14
33782,4,4
4528,1,1
94335,4,19
87523,4,14
63308,1,7
1658,4,0
13266,4,1
81729,4,11
310,4,0
106969,4,24
4362,4,1
39898,4,4
55665,1,5
97366,25,20
52971,4,4
43136,4,4
124114,1,30
102117,1,22
31027,4,4
63254,4,7
96870,4,20
109352,4,25
14118,1,1
67094,4,8
122240,4,29
22515,4,4
55408,4,5
31561,4,4
34955,4,4
84050,4,12
120552,26,28
79322,4,11
109738,4,25
14680,1,1
86234,4,13
16783,1,1
101256,1,22
100486,4,21
75693,4,10
50005,4,4
111048,25,25
111959,25,25
48422,4,4
119993,1,28
39966,4,4
45062,4,4
10100,4,1
54175,4,4
49201,4,4
86997,4,13
74433,1,10
44922,4,4
83282,1,12
90235,15,15
102509,1,22
20041,4,3
75143,4,10
122444,1,29
35856,4,4
53145,4,4
114947,4,26
15187,1,1
84829,4,13
46556,4,4
53958,4,4
36047,4,4
41578,4,4
30937,4,4
68633,4,8
122453,4,29
94164,4,18
28514,4,4
66005,4,8
40851,4,4
90710,4,15
54505,4,4
39076,4,4
35070,4,4
12911,1,1
95524,1,20
33560,4,4
67972,4,8
59597,4,6
103316,4,23
97138,4,20
55735,4,5
54662,4,4
20110,4,3
96741,4,20
79275,4,11
36362,4,4
11503,1,1
102886,1,22
100474,1,21
27653,4,4
84470,4,13
31446,4,4
86717,4,13
121397,4,28
28814,4,4
56718,4,5
79222,4,11
11415,1,1
4375,4,1
53080,4,4
12694,1,1
21942,4,4
114293,20,25
65821,1,8
78571,4,11
111090,4,25
98577,4,20
50089,4,4
18284,4,2
80816,4,11
106649,1,24
24686,4,4
74264,4,10
94032,4,18
83491,4,12
84041,1,12
48072,4,4
30607,4,4
96456,1,20
33464,4,4
114862,4,26
26010,4,4
101166,1,22
23689,4,4
34086,4,4
49318,4,4
99230,4,20
10258,4,1
117718,4,26
15052,1,1
104267,4,23
106801,1,24
14301,1,1
95971,4,20
67833,1,8
12457,1,1
66277,4,8
92308,1,17
24870,4,4
65374,4,8
58642,1,6
41945,4,4
115273,4,26
17583,4,2
110903,1,25
73619,4,9
59428,4,6
44831,4,4
68956,4,9
3597,4,1
1133,4,0
109762,4,25
32157,4,4
48231,4,4
47787,4,4
101743,4,22
26285,4,4
25324,4,4
37364,4,4
24006,4,4
52448,4,4
58927,4,6
7574,1,1
28432,4,4
96417,4,20
122961,25,29
115476,4,26
120036,4,28
33376,4,4
50349,4,4
55699,1,5
124365,1,30
11633,4,1
113026,4,25
88038,4,14
77753,4,10
103409,4,23
78271,4,11
38025,4,4
95669,1,20
111062,4,25
60063,4,6
105571,4,23
109939,4,25
107146,4,24
10605,1,1
47602,4,4
47640,4,4
118312,4,27
115515,4,26
94992,4,19
27438,4,4
81695,4,11
117906,4,26
103896,4,23
114669,1,26
116225,4,26
79977,4,11
25298,4,4
123851,1,30
13067,4,1
66097,4,8
51908,4,4
44921,4,4
87622,4,14
9797,4,1
93548,4,18
73601,4,9
52912,4,4
115601,4,26
111521,25,25
114756,4,26
14110,1,1
28102,4,4
112853,25,25
65694,4,8
28069,4,4
52689,4,4
33897,4,4
4406,1,1
74576,4,10
50253,4,4
99242,4,20
54029,4,4
37085,4,4
41699,4,4
123832,1,30
43218,4,4
98227,4,20
118301,4,27
12740,1,1
425,4,0
113388,4,25
72565,4,9
97679,1,20
34744,4,4
21238,4,3
9808,4,1
79642,4,11
106138,4,24
88578,1,15
40547,4,4
120448,4,28
14387,1,1
105641,4,23
27020,4,4
31865,4,4
97212,1,20
28542,4,4
118970,1,27
120441,4,28
2079,4,0
32517,4,4
48750,4,4
118953,4,27
115178,4,26
26413,4,4
14762,1,1
99133,4,20
5096,1,1
24716,4,4
31001,4,4
75151,4,10
116504,4,26
111244,4,25
117704,4,26
86061,4,13
107650,1,24
58256,4,6
111577,4,25
4377,4,1
104901,4,23
101947,1,22
9169,1,1
95836,1,20
82910,4,12
99908,4,21
25180,4,4
48164,4,4
54407,4,4
6441,1,1
33977,4,4
120330,4,28
7990,1,1
95771,1,20
77543,4,10
61311,4,7
95103,1,19
32708,4,4
56877,4,5
78448,4,11
22244,4,4
109579,4,25
43913,4,4
31104,4,4
48871,4,4
62924,4,7
100258,4,21
55254,4,5
92270,4,17
11908,1,1
80185,4,11
105027,4,23
66242,1,8
74878,4,10
108595,4,25
60779,4,6
72402,4,9
65654,1,8
48437,4,4
77354,4,10
59901,4,6
11478,1,1
84935,4,13
49754,4,4
62731,4,7
37922,4,4
110624,4,25
99454,4,21
84847,4,13
98004,4,20
31005,4,4
78410,4,11
20826,4,3
93594,4,18
50063,4,4
123158,25,29
122565,4,29
60574,4,6
55571,1,5
58049,4,6
11098,1,1
84971,4,13
21851,4,3
93414,4,18
102939,4,22
56465,4,5
6195,1,1
120066,4,28
52317,4,4
88857,4,15
41183,4,4
19067,4,2
89599,4,15
44325,4,4
48101,4,4
108452,25,25
118095,4,26
95544,1,20
49206,4,4
42714,4,4
109207,25,25
37520,4,4
28926,4,4
109005,4,25
26928,4,4
119962,4,28
20266,4,3
94748,4,19
25728,4,4
24771,4,4
116897,4,26
60135,4,6
52099,4,4
7,4,0
83604,1,12
50891,4,4
94783,4,19
75272,4,10
46168,4,4
26953,4,4
62668,4,7
80589,11,11
112148,4,25
116236,4,26
59362,4,6
75842,4,10
94589,4,19
56463,1,5
35659,4,4
34009,4,4
43205,4,4
64362,4,7
98030,4,20
90135,1,15
105290,4,23
72250,9,9
119969,4,28
9351,1,1
72592,9,9
37383,4,4
30450,4,4
26231,4,4
25172,4,4
100372,1,21
120906,4,28
21982,4,4
99084,4,20
107500,1,24
96523,1,20
41754,4,4
49326,4,4
64077,4,7
123128,1,29
26768,4,4
38347,4,4
120286,4,28
22599,4,4
16117,1,1
10231,1,1
85560,4,13
43924,4,4
8680,1,1
47907,4,4
62172,4,7
47920,4,4
109123,4,25
119895,4,28
91969,4,16
32633,4,4
100331,4,21
30523,4,4
122876,1,29
120263,4,28
10851,1,1
50496,4,4
28134,4,4
91797,1,16
104872,4,23
4768,1,1
73557,4,9
6603,1,1
113304,4,25
87548,4,14
77946,4,11
89220,4,15
15753,1,1
42798,4,4
15106,1,1
120528,4,28
98631,4,20
1931,4,0
11125,1,1
68953,4,9
81494,4,11
116070,4,26
117502,4,26
61113,1,6
118204,4,27
87866,4,14
42386,4,4
71919,9,9
42868,4,4
89813,4,15
33788,4,4
37741,4,4
76398,1,10
92365,4,17
75138,4,10
69376,4,9
48258,4,4
91255,4,16
308,4,0
20788,4,3
106194,4,24
97077,1,20
62010,1,7
31887,4,4
31923,4,4
119514,4,28
78805,4,11
1119,4,0
109551,25,25
107757,4,25
21301,4,3
27520,4,4
55983,5,5
90822,4,16
94544,4,19
93870,4,18
86350,4,13
12228,1,1
90642,4,15
10283,1,1
38914,4,4
77492,4,10
14226,1,1
33554,4,4
99658,1,21
110809,4,25
30792,4,4
37874,4,4
91171,4,16
69875,4,9
117921,4,26
109419,25,25
34927,4,4
66151,4,8
103095,4,23
57082,4,5
113074,25,25
100670,1,21
18304,4,2
69818,4,9
123513,1,30
10606,1,1
31364,4,4
102872,25,22
17896,4,2
83336,4,12
99549,4,21
2768,4,0
109523,4,25
78803,4,11
88010,4,14
21662,4,3
46159,4,4
116677,4,26
58473,4,6
63985,4,7
82054,1,11
16744,1,1
96381,4,20
85482,4,13
19330,4,3
72882,4,9
2579,4,0
118866,4,27
97112,4,20
10812,1,1
48351,4,4
57011,1,5
1809,4,0
121619,4,28
73657,4,10
70824,4,9
73637,4,9
39426,4,4
17071,1,1
88144,4,14
108953,4,25
50625,4,4
52533,4,4
46400,4,4
117988,4,26
77591,4,10
80300,4,11
54689,1,5
103343,4,23
70327,4,9
26719,4,4
118275,4,27
51078,4,4
4954,4,1
101153,1,22
95940,1,20
66200,1,8
48263,4,4
34011,4,4
84581,4,13
78270,4,11
54849,4,5
76807,1,10
122777,1,29
123773,4,30
26252,4,4
63940,4,7
77160,1,10
53470,4,4
72203,4,9
42015,4,4
73768,4,10
11123,1,1
88995,15,15
61731,4,7
68118,4,8
42401,4,4
73,4,0
120425,4,28
42723,4,4
98535,4,20
48086,4,4
51114,4,4
68918,1,9
59015,1,6
114781,4,26
26447,4,4
15268,4,1
46806,4,4
93104,4,17
20948,4,3
25291,4,4
64174,1,7
70197,9,9
13268,1,1
41350,4,4
76568,10,10
45555,4,4
90508,4,15
12456,1,1
86413,4,13
21699,4,3
98992,4,20
50942,4,4
71868,1,9
88489,4,15
69390,4,9
107432,1,24
92434,4,17
62680,4,7
47130,4,4
98159,4,20
23672,4,4
45906,4,4
1500,4,0
98446,1,20
42454,4,4
39100,4,4
11162,1,1
49866,4,4
76536,10,10
17826,4,2
124379,4,30
123468,4,29
96099,1,20
4706,1,1
23389,4,4
102334,1,22
69464,4,9
68261,1,8
95213,4,19
117132,4,26
61780,4,7
12313,1,1
117795,4,26
7751,1,1
102605,7,22
49106,4,4
122726,4,29
61088,4,6
38894,4,4
55797,4,5
109780,4,25
54872,4,5
121828,4,28
97987,4,20
35821,4,4
103106,4,23
71442,4,9
41431,4,4
121598,4,28
9425,4,1
50314,4,4
91940,1,16
115120,4,26
48426,4,4
24344,4,4
768,4,0
121497,4,28
59761,4,6
64955,1,8
52125,4,4
66523,1,8
11292,1,1
61441,4,7
90097,4,15
122183,4,29
68233,4,8
954,4,0
29327,4,4
101574,1,22
58998,4,6
89667,1,15
80853,4,11
76511,4,10
95169,4,19
92093,4,16
98675,4,20
103640,4,23
28140,4,4
91685,4,16
54900,4,5
17485,4,2
57744,1,6
94388,4,19
51590,4,4
2778,4,0
121011,4,28
16463,1,1
95270,4,19
64493,4,7
67292,4,8
29154,4,4
12059,4,1
51449,4,4
113037,4,25
9341,1,1
62736,4,7
108828,4,25
43379,4,4
49341,4,4
26272,4,4
123867,4,30
35810,4,4
90469,4,15
267,4,0
110249,25,25
18504,4,2
52592,4,4
117298,4,26
15746,1,1
83443,4,12
74718,4,10
113610,4,25
51904,4,4
68699,4,9
39502,4,4
85363,4,13
115106,4,26
90749,4,15
70723,4,9
73639,4,9
102643,4,22
34851,4,4
5002,1,1
11904,1,1
5932,4,1
67156,4,8
107519,4,24
38384,4,4
76856,4,10
118872,25,27
60537,4,6
117998,4,26
16815,1,1
18213,26,2
53200,4,4
85475,4,13
40412,4,4
39726,4,4
108896,4,25
78888,4,11
93044,4,17
119759,4,28
37264,4,4
110444,25,25
8343,1,1
92816,4,17
115738,4,26
94847,4,19
64559,25,7
110243,25,25
71139,4,9
70766,4,9
111020,4,25
73048,4,9
114672,4,26
114607,4,26
8381,1,1
29044,4,4
93284,1,17
68443,4,8
38341,4,4
30561,4,4
47462,4,4
41683,4,4
102807,25,22
109735,4,25
17934,1,2
67877,1,8
102135,4,22
19709,4,3
54606,4,4
111203,4,25
25480,4,4
20118,4,3
55454,4,5
100934,1,22
64401,4,7
105654,4,24
111859,4,25
7093,1,1
11985,1,1
53826,4,4
25264,4,4
34559,4,4
37668,4,4
119833,4,28
70066,4,9
92019,4,16
39676,4,4
59014,1,6
14782,1,1
27277,4,4
35877,4,4
44984,4,4
6512,1,1
105298,4,23
53971,4,4
19532,4,3
55697,4,5
68121,1,8
49494,4,4
124424,1,30
36248,4,4
83393,4,12
80829,4,11
40028,4,4
38100,4,4
23446,4,4
39179,4,4
67231,4,8
70458,4,9
79631,1,11
49134,4,4
119453,4,27
93602,1,18
34865,4,4
33504,4,4
20767,4,3
53308,4,4
74133,4,10
117912,4,26
75393,10,10
24209,4,4
12631,4,1
12773,1,1
18448,4,2
117593,4,26
121776,4,28
45798,4,4
78188,4,11
57983,1,6
83381,4,12
52830,4,4
88058,4,14
63320,4,7
3982,1,1
93817,4,18
42291,4,4
50877,4,4
50287,4,4
123372,4,29
103589,4,23
95716,4,20
64792,4,8
21620,4,3
116794,4,26
4146,1,1
100721,4,21
58474,4,6
41575,4,4
105546,4,23
19614,4,3
57938,4,6
51872,4,4
18683,4,2
106678,25,24
26159,4,4
10751,4,1
108937,4,25
102918,1,22
55145,1,5
83896,4,12
121032,4,28
6655,4,1
96869,4,20
59552,1,6
75326,1,10
15687,4,1
89120,1,15
97419,4,20
56272,4,5
49518,4,4
93591,4,18
98611,1,20
61164,1,6
82294,4,12
115307,4,26
65721,4,8
91782,4,16
16343,1,1
66251,4,8
26878,4,4
56145,1,5
25199,4,4
82362,4,12
118323,1,27
26695,4,4
123472,25,29
65802,10,8
122943,4,29
96952,4,20
47660,4,4
51174,4,4
116159,4,26
72373,4,9
10184,4,1
72508,4,9
95398,4,19
9800,1,1
54652,4,4
112698,25,25
68789,4,9
107701,4,24
26079,4,4
17320,4,2
63803,4,7
92677,4,17
88299,4,15
21419,4,3
63644,4,7
85583,1,13
68506,1,8
41697,4,4
76731,1,10
79913,4,11
86374,4,13
12323,1,1
94397,4,19
60979,4,6
51483,4,4
38024,4,4
43416,4,4
45164,4,4
118637,4,27
99817,4,21
94931,4,19
94682,1,19
115308,4,26
67686,4,8
65248,4,8
8525,4,1
77921,4,11
62345,4,7
95155,4,19
19974,4,3
70205,4,9
24136,4,4
91077,4,16
5949,4,1
80852,4,11
3677,1,1
92000,1,16
32821,4,4
6085,4,1
17800,4,2
52012,4,4
6269,4,1
104513,4,23
62682,4,7
98584,1,20
85825,4,13
78643,4,11
99004,4,20
26630,4,4
104006,4,23
31855,4,4
121002,4,28
63771,4,7
90834,4,16
86200,4,13
59012,4,6
31608,4,4
11176,1,1
83551,4,12
102063,4,22
12,4,0
23047,4,4
24580,4,4
48621,4,4
35305,4,4
72775,1,9
42637,4,4
31660,4,4
106992,4,24
97196,4,20
43787,4,4
103900,4,23
103287,4,23
94316,4,18
63590,4,7
100422,1,21
67166,1,8
40375,4,4
39320,4,4
77541,4,10
93978,4,18
25439,4,4
61962,4,7
15492,1,1
24509,4,4
112518,4,25
1787,4,0
45173,4,4
94355,4,19
80503,4,11
106988,24,24
106718,4,24
80790,4,11
101922,1,22
9725,1,1
102200,25,22
76318,4,10
90039,4,15
106257,4,24
3342,1,1
81687,4,11
46222,4,4
23458,4,4
50577,4,4
44335,4,4
3095,1,1
49379,4,4
10057,1,1
24730,4,4
120040,4,28
42598,4,4
17559,4,2
66851,1,8
84579,4,13
66429,4,8
103385,4,23
83574,4,12
34385,4,4
77699,4,10
47049,4,4
69994,4,9
124286,4,30
75477,4,10
69551,4,9
67350,4,8
91001,4,16
116518,4,26
112492,4,25
104039,4,23
78614,4,11
79152,4,11
37738,4,4
123170,4,29
1237,4,0
5940,4,1
48030,4,4
53320,4,4
51809,4,4
32797,4,4
63022,4,7
89344,4,15
73370,1,9
99370,4,20
84742,4,13
15124,1,1
52281,4,4
82761,4,12
8762,4,1
119707,4,28
62380,4,7
96872,4,20
44603,4,4
101290,4,22
38561,4,4
88569,4,15
98288,4,20
32886,4,4
78663,1,11
74623,4,10
21170,4,3
102010,4,22
16212,1,1
40723,4,4
44122,4,4
76921,10,10
122224,4,29
110670,25,25
103053,4,23
69374,4,9
115691,4,26
124128,1,30
49408,4,4
96603,4,20
112990,4,25
29200,4,4
47504,4,4
61905,4,7
124678,1,30
11687,4,1
24574,4,4
80293,4,11
82251,4,12
73580,4,9
79930,4,11
72540,4,9
75107,4,10
9853,1,1
9975,1,1
82764,1,12
86308,4,13
83157,12,12
11987,1,1
29275,4,4
54186,4,4
35915,4,4
74314,1,10
24711,4,4
106084,4,24
122025,4,28
21702,4,3
112972,4,25
98758,4,20
53413,4,4
400,4,0
48452,4,4
8510,1,1
77925,4,11
28440,4,4
106552,4,24
119980,4,28
94670,4,19
15987,1,1
24213,4,4
118093,4,26
7112,1,1
1487,4,0
83737,4,12
83545,4,12
118228,1,27
73200,4,9
114249,4,25
11657,4,1
14672,4,1
17551,4,2
15899,4,1
31636,4,4
32547,4,4
29053,4,4
64805,4,8
5058,1,1
1134,4,0
115555,4,26
111677,4,25
61701,4,7
13957,1,1
72658,4,9
97961,4,20
5499,1,1
41840,4,4
34091,4,4
83795,4,12
109491,4,25
13584,1,1
87842,4,14
88585,4,15
112583,4,25
18116,4,2
53812,4,4
54930,1,5
103526,4,23
116757,4,26
20297,4,3
106191,4,24
58616,4,6
109922,4,25
74333,4,10
55974,4,5
73469,9,9
45280,4,4
30658,4,4
5769,1,1
80255,4,11
105161,4,23
41068,4,4
372,4,0
49453,4,4
22854,4,4
39057,4,4
115893,4,26
14047,4,1
79941,4,11
26998,4,4
36598,4,4
3506,1,1
72391,1,9
121526,26,28
91779,4,16
64106,4,7
101484,4,22
13053,1,1
75324,4,10
81308,4,11
95996,4,20
60230,4,6
52886,4,4
67701,1,8
111113,4,25
19386,4,3
98701,4,20
73034,4,9
98429,1,20
52779,4,4
68485,4,8
104293,4,23
32497,4,4
25586,4,4
39854,4,4
29519,4,4
7060,1,1
18739,4,2
106455,4,24
113631,4,25
98108,1,20
33989,4,4
75110,4,10
106667,4,24
18094,4,2
82975,4,12
101816,1,22
79297,4,11
5527,1,1
17028,1,1
44589,4,4
82598,4,12
114883,4,26
59718,4,6
12579,1,1
10582,1,1
116974,4,26
15606,1,1
46132,4,4
35724,4,4
92275,1,17
14444,1,1
31221,4,4
73404,9,9
2557,4,0
65981,4,8
3343,1,1
189,4,0
68785,4,9
46836,4,4
71351,4,9
91956,4,16
17871,4,2
51197,4,4
60581,4,6
64432,4,7
96003,4,20
25551,4,4
22186,4,4
47044,4,4
14213,1,1
74523,1,10
63264,1,7
117231,4,26
68873,4,9
10141,1,1
2459,4,0
17979,4,2
27736,4,4
41190,4,4
92863,4,17
72957,4,9
74286,10,10
79497,4,11
76684,4,10
46907,4,4
32202,4,4
38427,4,4
72967,4,9
54630,4,4
88896,4,15
32651,4,4
54912,4,5
59941,1,6
113504,4,25
85685,4,13
49100,4,4
70532,1,9
42243,4,4
31100,4,4
106785,24,24
92994,4,17
90675,25,15
23686,4,4
115080,4,26
3611,1,1
86622,1,13
61085,4,6
47961,4,4
55338,4,5
53038,4,4
64898,4,8
42054,4,4
1830,4,0
43571,4,4
2452,1,0
85486,4,13
46525,4,4
69412,4,9
16772,4,1
53903,4,4
88355,4,15
5707,1,1
80195,4,11
52460,4,4
61356,4,7
93324,4,17
61493,1,7
45187,4,4
64275,4,7
13453,1,1
94636,4,19
94399,4,19
54686,4,5
58954,4,6
83188,4,12
92620,4,17
109631,25,25
70045,4,9
88644,4,15
59184,4,6
58716,4,6
99777,4,21
37759,4,4
78027,4,11
73984,4,10
15957,1,1
37374,4,4
97470,4,20
75223,4,10
106006,1,24
115510,4,26
69805,4,9
22990,4,4
101882,1,22
18338,4,2
70167,4,9
69838,1,9
18576,4,2
39951,4,4
1202,1,0
110613,4,25
12212,1,1
17855,4,2
60568,4,6
1418,4,0
55927,4,5
40606,4,4
4775,1,1
45229,4,4
134,4,0
37016,4,4
30118,4,4
101225,1,22
65999,4,8
97425,4,20
76377,4,10
65891,4,8
96212,4,20
123440,4,29
20439,25,3
7190,1,1
21999,4,4
21874,4,3
42899,4,4
73907,4,10
63439,4,7
77911,4,11
117765,4,26
35995,4,4
15869,1,1
3370,1,1
117171,4,26
32563,4,4
39151,4,4
84825,1,13
123017,4,29
38026,4,4
32652,4,4
3753,1,1
90985,4,16
41259,4,4
11603,1,1
116895,4,26
18017,4,2
95019,4,19
113463,25,25
82437,4,12
95882,1,20
61473,4,7
52892,4,4
16204,1,1
40955,4,4
72172,4,9
104144,4,23
